473 + 216 (mod 97) = ?	10
511 + 572 (mod 97) = ?	16
755 + 415 (mod 97) = ?	6
950 + 31 (mod 97) = ?	11
34 + 387 (mod 97) = ?	33
144 + 145 (mod 97) = ?	95
822 + 900 (mod 97) = ?	73
948 + 824 (mod 97) = ?	26
249 + 112 (mod 97) = ?	70
311 + 338 (mod 97) = ?	67
869 + 346 (mod 97) = ?	51
423 + 684 (mod 97) = ?	40
273 + 621 (mod 97) = ?	21
827 + 337 (mod 97) = ?	0
256 + 209 (mod 97) = ?	77
409 + 75 (mod 97) = ?	96
643 + 469 (mod 97) = ?	45
549 + 166 (mod 97) = ?	36
85 + 937 (mod 97) = ?	52
27 + 26 (mod 97) = ?	53
865 + 222 (mod 97) = ?	20
753 + 384 (mod 97) = ?	70
837 + 1 (mod 97) = ?	62
538 + 196 (mod 97) = ?	55
817 + 662 (mod 97) = ?	24
329 + 786 (mod 97) = ?	48
452 + 309 (mod 97) = ?	82
788 + 53 (mod 97) = ?	65
123 + 136 (mod 97) = ?	65
303 + 715 (mod 97) = ?	48
124 + 966 (mod 97) = ?	23
453 + 671 (mod 97) = ?	57
976 + 887 (mod 97) = ?	20
134 + 491 (mod 97) = ?	43
383 + 278 (mod 97) = ?	79
403 + 472 (mod 97) = ?	2
903 + 318 (mod 97) = ?	57
203 + 181 (mod 97) = ?	93
502 + 566 (mod 97) = ?	1
262 + 329 (mod 97) = ?	9
19 + 123 (mod 97) = ?	45
750 + 777 (mod 97) = ?	72
62 + 630 (mod 97) = ?	13
280 + 193 (mod 97) = ?	85
498 + 715 (mod 97) = ?	49
485 + 624 (mod 97) = ?	42
116 + 330 (mod 97) = ?	58
980 + 746 (mod 97) = ?	77
749 + 26 (mod 97) = ?	96
961 + 930 (mod 97) = ?	48
92 + 992 (mod 97) = ?	17
724 + 48 (mod 97) = ?	93
293 + 287 (mod 97) = ?	95
541 + 540 (mod 97) = ?	14
924 + 11 (mod 97) = ?	62
276 + 95 (mod 97) = ?	80
725 + 120 (mod 97) = ?	69
160 + 886 (mod 97) = ?	76
322 + 561 (mod 97) = ?	10
969 + 953 (mod 97) = ?	79
421 + 808 (mod 97) = ?	65
516 + 55 (mod 97) = ?	86
292 + 545 (mod 97) = ?	61
115 + 99 (mod 97) = ?	20
424 + 81 (mod 97) = ?	20
623 + 457 (mod 97) = ?	13
455 + 870 (mod 97) = ?	64
776 + 774 (mod 97) = ?	95
362 + 872 (mod 97) = ?	70
613 + 616 (mod 97) = ?	65
772 + 39 (mod 97) = ?	35
917 + 331 (mod 97) = ?	84
427 + 449 (mod 97) = ?	3
39 + 596 (mod 97) = ?	53
718 + 250 (mod 97) = ?	95
528 + 797 (mod 97) = ?	64
872 + 802 (mod 97) = ?	25
459 + 921 (mod 97) = ?	22
